id_lo,id_mid,id_hi,n
333,1445,1763,111
333,1703,1761,17
334,1197,1469,15
335,1225,1713,15
336,341,1071,18
336,347,853,14
336,687,856,109
336,746,1193,18
336,813,1726,16
336,874,882,19
336,1029,1472,107
337,930,1002,12
337,1692,1801,110
338,350,1018,17
338,376,1829,19
338,1330,1663,110
338,1591,1800,16
339,395,1087,110
339,702,921,11
339,1196,1387,17
339,1823,1825,112
340,510,1199,16
341,443,1298,16
341,1425,1663,106
341,1521,1803,108
342,563,726,16
342,750,1510,113
343,596,986,104
343,688,875,15
344,371,876,112
344,522,597,109
344,617,977,19
346,1368,1592,111
347,1117,1700,18
349,627,1414,17
350,849,1616,15
350,1091,1483,108
351,559,1132,117
351,910,945,109
351,1033,1591,111
351,1192,1807,15
352,548,935,115
352,1415,1560,15
353,894,1669,107
353,964,1732,15
354,620,1022,111
354,694,1280,18
354,1555,1583,14
355,439,1459,19
355,1244,1720,13
356,774,1369,18
358,677,1381,114
359,443,509,103
360,555,951,108
360,634,767,110
360,1377,1755,104
361,363,667,104
361,496,561,15
361,619,1028,113
362,470,1492,13
362,560,1301,14
362,1072,1227,104
362,1182,1258,15
363,969,1414,114
363,1650,1706,13
365,796,1687,14
365,799,1216,107
365,843,1150,18
365,964,977,14
365,1064,1670,16
365,1079,1333,19
366,373,1498,16
366,428,514,19
366,640,1524,111
367,914,1794,15
367,1322,1605,106
368,538,1463,17
368,820,1369,111
368,1558,1802,110
369,1442,1518,14
370,518,1542,106
370,1382,1438,16
371,1175,1561,115
371,1389,1471,13
372,818,1126,107
372,874,1507,108
372,1025,1572,111
372,1115,1268,18
373,711,910,108
373,934,989,116
373,1152,1158,15
373,1220,1722,18
373,1227,1779,18
374,639,797,104
374,905,1450,21
375,378,1216,20
375,464,1563,112
375,581,780,110
375,781,1234,16
375,839,1086,116
377,394,791,17
377,423,1005,104
378,492,902,105
378,915,1343,101
378,1098,1739,16
379,404,976,108
380,791,1108,104
382,985,992,107
382,1094,1636,102
383,745,1799,13
383,1659,1779,111
384,1674,1755,17
385,806,1591,15
385,978,1319,106
385,1480,1756,104
386,502,1423,117
387,658,977,19
387,1042,1767,113
388,467,1222,15
388,595,844,115
388,1192,1368,14
390,1521,1788,118
392,597,1744,20
393,1015,1165,16
394,796,1818,116
394,1119,1781,14
394,1579,1580,109
395,491,1844,19
395,605,1115,16
396,427,1185,111
396,1003,1668,15
396,1073,1729,115
396,1085,1726,115
396,1448,1519,115
397,716,796,110
397,821,1261,16
400,583,1829,15
401,613,1269,110
401,710,787,15
401,857,911,112
401,1044,1349,13
401,1051,1240,20
402,632,1145,15
404,1028,1461,21
404,1255,1680,14
404,1267,1580,110
404,1479,1635,105
404,1516,1544,19
405,416,647,109
405,638,1213,14
405,771,1005,12
405,849,1394,11
405,1103,1798,111
405,1439,1514,15
406,609,1807,112
406,629,1682,112
407,1205,1309,18
407,1288,1475,100
408,567,603,112
408,977,1584,12
409,438,1266,108
409,1676,1818,114
410,1713,1733,113
411,729,971,109
411,914,980,111
412,633,1231,20
412,875,1835,16
413,682,821,14
413,858,1044,110
413,1351,1427,15
414,618,702,15
415,430,847,103
415,1133,1580,115
416,638,1305,13
416,657,1540,18
416,685,1070,15
417,636,1036,114
417,848,1094,19
417,883,1724,111
417,1046,1733,13
417,1241,1585,16
418,618,1807,111
419,715,744,21
419,833,1617,110
421,664,781,18
421,959,1099,105
421,1106,1117,105
421,1315,1580,16
422,819,1555,114
422,1234,1453,112
424,490,1534,14
424,689,883,14
424,731,1773,18
425,1599,1601,16
426,954,1386,99
426,1291,1355,16
427,1020,1210,113
428,604,1809,16
429,499,1185,109
429,722,1308,13
430,674,972,108
431,980,1426,108
431,1726,1783,104
432,1400,1460,15
433,769,1543,16
434,480,1378,108
434,914,1294,100
434,1091,1490,14
436,571,1036,111
437,613,793,107
437,1219,1408,15
437,1356,1829,20
438,1091,1354,19
438,1268,1832,19
439,1354,1501,108
440,465,1133,15
440,690,777,114
441,472,1582,114
441,629,1464,104
441,740,1368,16
441,1172,1210,111
442,450,1074,16
442,1194,1626,15
443,521,717,109
443,1369,1754,107
444,801,1042,13
445,1095,1799,107
445,1188,1680,108
446,1187,1805,19
446,1228,1708,106
447,601,1511,112
447,1003,1006,15
447,1078,1764,113
448,519,1425,112
448,967,1082,107
