,triplet_id,correct_avg,correct_id,delta,Accuracy Avg. Model,id_lo,id_mid,id_hi,prop_max,n_per_triplet,is_improvement,prop_max_rounded
93,94,0.9072164948453608,0.9072164948453608,0.0,9,1086,1302,1482,0.9181818181818182,110,1,0.9
94,95,0.9278350515463918,0.9278350515463918,0.0,9,108,813,1264,0.9369369369369368,111,1,0.9
95,96,0.875,0.75,-0.125,8,1088,1427,1735,0.8,15,0,0.8
96,97,0.40594059405940597,0.5643564356435643,0.15841584158415833,4,1088,1511,1616,0.3888888888888889,108,1,0.4
97,98,0.5747126436781609,0.6091954022988506,0.034482758620689724,5,1089,1489,1675,0.5757575757575758,99,1,0.6
98,99,0.5769230769230769,0.6153846153846154,0.03846153846153855,5,109,1038,1557,0.5688073394495413,109,1,0.6
99,100,0.4158415841584158,0.5742574257425742,0.1584158415841584,4,109,207,782,0.4454545454545454,110,1,0.4
100,101,0.98989898989899,0.98989898989899,0.0,9,1092,1176,1394,0.9907407407407408,108,1,1.0
101,102,0.43037974683544306,0.620253164556962,0.18987341772151894,4,1093,1315,1392,0.5,92,1,0.5
102,103,0.3333333333333333,0.6666666666666666,0.3333333333333333,3,1093,1478,1697,0.6363636363636364,11,1,0.6
103,104,0.5,0.5,0.0,4,109,380,893,0.3571428571428571,14,1,0.4
104,105,0.7872340425531915,0.8085106382978723,0.02127659574468077,7,1096,1311,1561,0.7909090909090909,110,1,0.8
105,106,0.75,0.75,0.0,7,1098,1200,1438,0.5333333333333333,15,1,0.5
106,107,0.375,0.5,0.125,3,109,912,1385,0.4444444444444444,18,1,0.4
107,108,0.3106796116504854,0.5825242718446602,0.27184466019417475,3,109,916,1425,0.5391304347826087,115,1,0.5
108,109,1.0,1.0,0.0,9,1099,1757,1835,1.0,11,1,1.0
109,110,0.6185567010309279,0.5876288659793815,-0.030927835051546393,6,1100,1163,1519,0.6074766355140186,107,0,0.6
110,111,0.2222222222222222,0.5555555555555556,0.33333333333333337,2,1100,1576,1791,0.5,14,1,0.5
111,112,0.25,0.375,0.125,2,1101,1255,1705,0.4285714285714285,14,1,0.4
112,113,0.75,0.7777777777777778,0.02777777777777779,7,1101,1314,1566,0.7647058823529411,119,1,0.8
113,114,0.7938144329896907,0.7938144329896907,0.0,7,110,161,982,0.7964601769911505,113,1,0.8
114,115,0.8210526315789474,0.8421052631578947,0.021052631578947323,8,1102,1117,1371,0.8440366972477065,109,1,0.8
115,116,0.9504950495049505,0.9504950495049505,0.0,9,1102,1336,1407,0.9464285714285714,112,1,0.9
116,117,0.25,0.25,0.0,2,110,495,594,0.6111111111111112,18,1,0.6
117,118,0.4368932038834951,0.6407766990291263,0.20388349514563114,4,1106,1279,1798,0.4336283185840708,113,1,0.4
118,119,0.3523809523809524,0.7428571428571429,0.3904761904761905,3,1107,1609,1850,0.4818181818181818,110,1,0.5
119,120,0.875,0.875,0.0,8,111,1206,1788,0.8,15,1,0.8
120,121,0.9622641509433962,0.9622641509433962,0.0,9,111,1461,1797,0.954954954954955,111,1,1.0
121,122,0.3,0.46,0.16000000000000003,2,11,125,503,0.3947368421052631,114,1,0.4
122,123,0.5555555555555556,0.7777777777777778,0.2222222222222222,5,1114,1254,1371,0.5,20,1,0.5
123,124,0.7204301075268817,0.8064516129032258,0.08602150537634401,7,1114,1462,1508,0.7452830188679245,106,1,0.7
124,125,0.5684210526315789,0.6736842105263158,0.10526315789473684,5,111,524,1725,0.5405405405405406,111,1,0.5
125,126,0.9578947368421052,0.9578947368421052,0.0,9,1116,1327,1834,0.9629629629629628,108,1,1.0
126,127,0.5,0.8333333333333334,0.33333333333333337,4,1116,1395,1515,0.4666666666666667,15,1,0.5
127,128,1.0,1.0,0.0,9,1118,1822,1826,0.9333333333333332,15,1,0.9
128,129,0.56,0.62,0.05999999999999994,5,1121,1489,1735,0.5504587155963303,109,1,0.6
129,130,0.375,0.75,0.375,3,112,1190,1625,0.4705882352941176,17,1,0.5
130,131,1.0,1.0,0.0,9,1123,1438,1719,1.0,18,1,1.0
131,132,0.3673469387755102,0.7346938775510204,0.3673469387755102,3,1126,1230,1278,0.5818181818181818,110,1,0.6
132,133,0.2857142857142857,0.8571428571428571,0.5714285714285714,2,112,618,1247,0.3571428571428571,14,1,0.4
133,134,0.6451612903225806,0.6881720430107527,0.043010752688172116,6,112,780,1733,0.6355140186915887,107,1,0.6
134,135,0.25,0.75,0.5,2,1128,1324,1658,0.75,12,1,0.8
135,136,0.6,0.6,0.0,5,1131,1537,1568,0.8181818181818182,11,1,0.8
136,137,0.6,0.8,0.20000000000000007,5,113,1245,1538,0.5384615384615384,13,1,0.5
137,138,0.75,0.75,0.0,7,113,285,1082,0.8181818181818182,11,1,0.8
138,139,0.7640449438202247,0.8202247191011236,0.0561797752808989,7,11,336,1329,0.7747747747747747,111,1,0.8
139,140,0.6666666666666666,0.6666666666666666,0.0,6,1135,1250,1555,0.7777777777777778,18,1,0.8
140,141,0.49056603773584906,0.5094339622641509,0.018867924528301883,4,113,700,962,0.5087719298245614,114,1,0.5
141,142,0.8,0.8,0.0,7,11,370,554,0.8823529411764706,17,1,0.9
142,143,0.44339622641509435,0.6226415094339622,0.17924528301886788,4,1141,1214,1709,0.4473684210526316,114,1,0.4
143,144,0.3829787234042553,0.5531914893617021,0.17021276595744683,3,1142,1398,1724,0.3893805309734513,113,1,0.4
144,145,0.8125,0.8660714285714286,0.0535714285714286,8,1143,1272,1770,0.8220338983050848,118,1,0.8
145,146,0.2222222222222222,0.6666666666666666,0.4444444444444444,2,114,507,1183,0.8333333333333334,18,1,0.8
146,147,0.38144329896907214,0.7422680412371134,0.3608247422680413,3,1145,1470,1533,0.5363636363636364,110,1,0.5
147,148,0.4897959183673469,0.5,0.010204081632653073,4,1146,1430,1584,0.5398230088495575,113,1,0.5
148,149,0.375,0.375,0.0,3,1147,1589,1662,0.4285714285714285,14,1,0.4
149,150,0.6666666666666666,0.6666666666666666,0.0,6,1148,1249,1377,0.6470588235294118,17,1,0.6
150,151,0.2,0.2,0.0,1,11,50,1500,0.625,16,1,0.6
151,152,0.8461538461538461,0.875,0.028846153846153855,8,1151,1245,1769,0.8545454545454545,110,1,0.9
152,153,0.75,1.0,0.25,7,1151,1292,1710,0.875,16,1,0.9
153,154,0.43956043956043955,0.6263736263736264,0.18681318681318682,4,1153,1313,1376,0.4150943396226415,106,1,0.4
154,155,0.8315789473684211,0.8526315789473684,0.021052631578947323,8,1154,1221,1436,0.8155339805825242,103,1,0.8
155,156,0.8315789473684211,0.8105263157894737,-0.021052631578947434,8,115,559,1341,0.8348623853211009,109,0,0.8
156,157,0.3434343434343434,0.5555555555555556,0.21212121212121215,3,115,663,1557,0.3425925925925926,108,1,0.3
157,158,1.0,1.0,0.0,9,115,725,1091,1.0,17,1,1.0
158,159,0.9797979797979798,0.9797979797979798,0.0,9,1158,1224,1804,0.9818181818181818,110,1,1.0
159,160,0.75,0.75,0.0,7,11,588,991,0.9333333333333332,15,1,0.9
160,161,0.4411764705882353,0.5,0.05882352941176472,4,11,59,564,0.4636363636363636,110,1,0.5
161,162,0.6666666666666666,0.6666666666666666,0.0,6,1160,1220,1463,0.9333333333333332,15,1,0.9
